dep_com;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num;n;dep_percentage
abala_abala;0,00000000;0,05555556;0,75000000;0,86111111;0,9444444;0,22222222;0,02777778;0,19444444;0,05555556;0,9444444;0,86111111;0,7222222;0,6666667;0,00000000;0,4722222;0,75000000;36;52;142;0,25352113
abala_sanam;0,00000000;0,04166667;0,75000000;1,00000000;0,9583333;0,37500000;0,04166667;0,12500000;0,16666667;0,8333333;0,83333333;0,7083333;0,6666667;0,00000000;0,5000000;0,58333333;24;40;140;0,17142857
anderamboukane_anderamboukane;0,33333333;0,41666667;0,50000000;0,58333333;0,5000000;0,75000000;0,25000000;0,50000000;0,41666667;0,5833333;0,25000000;0,5000000;0,6000000;0,00000000;0,6666667;0,16666667;12;12; 14;0,85714286
ansongo_ansongo;0,33333333;0,33333333;0,66666667;0,66666667;0,8333333;0,83333333;0,16666667;0,33333333;0,83333333;0,1666667;0,83333333;0,0000000;0,5000000;0,00000000;0,6666667;0,33333333; 6; 6; 27;0,22222222
ansongo_bara;0,00000000;0,12500000;0,75000000;0,62500000;0,6250000;0,87500000;0,37500000;0,37500000;0,75000000;0,2500000;0,62500000;0,2500000;0,0000000;0,25000000;0,7500000;0,12500000; 8; 8; 21;0,38095238
ansongo_bourra;0,14285714;0,14285714;0,42857143;0,42857143;0,7142857;0,85714286;0,42857143;0,42857143;0,28571429;0,7142857;0,28571429;0,4285714;0,5000000;0,00000000;0,7142857;0,57142857; 7; 7; 35;0,20000000
ansongo_ouattagouna;0,00000000;0,30000000;0,70000000;0,50000000;0,5000000;1,00000000;0,60000000;0,80000000;0,80000000;0,2000000;0,10000000;0,5000000;0,6666667;0,10000000;0,9000000;0,10000000;10;10; 38;0,26315789
ansongo_talataye;0,42857143;0,57142857;0,57142857;0,42857143;0,2857143;0,85714286;0,57142857;1,00000000;0,57142857;0,4285714;0,28571429;0,7142857;0,6000000;0,00000000;0,5714286;0,00000000; 7; 7;  9;0,77777778
ansongo_tessit;0,25000000;0,37500000;0,62500000;0,50000000;0,3750000;1,00000000;0,62500000;1,00000000;0,50000000;0,5000000;0,12500000;0,6250000;1,0000000;0,25000000;0,6250000;0,12500000; 8; 8; 18;0,44444444
ansongo_tin_hama;0,42857143;0,57142857;0,28571429;0,42857143;0,8571429;0,85714286;0,28571429;0,42857143;0,28571429;0,7142857;0,42857143;0,2857143;1,0000000;0,00000000;0,5714286;0,42857143; 7; 7;  6;1,16666667
ayerou_ayerou;0,00000000;0,00000000;0,66666667;0,11111111;1,0000000;0,38888889;0,00000000;0,16666667;0,50000000;0,5000000;0,94444444;0,5555556;0,5000000;0,00000000;0,7777778;0,72222222;18;25;105;0,17142857
ayerou_inates;0,00000000;0,00000000;0,82352941;0,41176471;1,0000000;0,82352941;0,11764706;0,41176471;0,64705882;0,3529412;0,82352941;0,7058824;NA;0,00000000;0,7647059;0,23529412;17;25; 71;0,23943662
bam_bourzanga;0,00000000;0,00000000;0,00000000;0,20000000;1,0000000;0,00000000;0,00000000;0,20000000;0,00000000;1,0000000;1,00000000;0,4000000;1,0000000;0,00000000;0,2000000;1,00000000; 5; 9; 41;0,12195122
bam_guibare;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,3333333;0,3333333;0,00000000;0,0000000;1,00000000; 3; 6; 18;0,16666667
bam_kongoussi;0,00000000;0,00000000;0,14285714;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,4285714;0,5714286;0,00000000;0,0000000;1,00000000; 7;11; 58;0,12068966
bam_nassere;0,00000000;0,00000000;0,33333333;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,6666667;0,0000000;0,00000000;0,0000000;1,00000000; 3; 4; 10;0,30000000
