"dep_com","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","n","dep_percentage"
"abala_abala",0,0,0.5,0.605263157894737,0.868421052631579,0.473684210526316,0,0.289473684210526,0.105263157894737,0.894736842105263,0.710526315789474,0.710526315789474,0.333333333333333,0.0526315789473684,0.789473684210526,0.789473684210526,38,58,142,0.267605633802817
"abala_sanam",0,0,0.473684210526316,0.473684210526316,0.789473684210526,0.526315789473684,0.105263157894737,0.210526315789474,0.315789473684211,0.684210526315789,0.789473684210526,0.631578947368421,NA,0,0.736842105263158,0.736842105263158,19,33,140,0.135714285714286
"anderamboukane_anderamboukane",0.166666666666667,0.333333333333333,0.583333333333333,0.666666666666667,0.583333333333333,0.75,0.75,0.916666666666667,0.5,0.5,0,0.666666666666667,0.75,0.166666666666667,0.916666666666667,0,12,12,14,0.857142857142857
"ansongo_ansongo",0,0,0.6,0.2,1,1,0,0.4,0.2,0.8,0.8,0,1,0.2,0.6,0.2,5,5,27,0.185185185185185
"ansongo_bara",0.25,0.25,0.625,0.625,0.75,1,0.375,0.875,0.5,0.5,0.5,0.125,1,0.25,1,0.375,8,8,21,0.380952380952381
"ansongo_bourra",0.25,0.25,0.375,0.25,0.75,0.75,0.375,0.875,0.625,0.375,0.375,0.25,1,0,0.75,0.5,8,8,35,0.228571428571429
"ansongo_ouattagouna",0.1,0.5,0.6,0.7,0.5,1,0.5,1,0.8,0.2,0,0.4,0.333333333333333,0.1,0.8,0,10,10,38,0.263157894736842
"ansongo_talataye",0.6,0.8,0.4,0.6,0.4,1,0.4,1,0.6,0.4,0.4,0.4,0.75,0.6,0.6,0,5,5,9,0.555555555555556
"ansongo_tessit",0.142857142857143,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,1,0.571428571428571,1,0.428571428571429,0.571428571428571,0.285714285714286,0.714285714285714,1,0.285714285714286,0.857142857142857,0.428571428571429,7,7,18,0.388888888888889
"ansongo_tin_hama",0.666666666666667,0.833333333333333,0.5,0.5,0.666666666666667,1,0.5,0.833333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,0.833333333333333,0.333333333333333,6,6,6,1
"ayerou_ayerou",0,0,0.666666666666667,0.5,1,0.833333333333333,0,0,0,1,0.666666666666667,0,1,0,0,0.333333333333333,6,9,105,0.0571428571428571
"ayerou_inates",0,0,0.833333333333333,0.833333333333333,1,0.833333333333333,0.166666666666667,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,NA,0,0.833333333333333,0.166666666666667,6,8,71,0.0845070422535211
"bam_bourzanga",0.2,0.6,0,0.2,1,0.6,0,0.4,0,1,1,0.4,0,0,0,1,5,7,41,0.121951219512195
"bam_guibare",0,0,0,0,1,0,0,0,0,1,1,0,0.5,0,0,1,2,2,18,0.111111111111111
"bam_kongoussi",0.2,0.2,0,0,1,0,0,0,0,1,1,0.4,0.8,0.2,0,1,5,8,58,0.0862068965517241
"bam_nassere",0,0,0,0,1,0,0,0,0,1,1,0.5,0,0,0,1,2,4,10,0.2
"bam_rollo",0,0,0,0,1,0.25,0,0,0,1,1,0.25,0.5,0,0,1,4,5,21,0.19047619047619
"bam_rouko",0,0,0,0,1,0,0,0,0,1,1,0.5,0.5,0,0,1,2,4,10,0.2
"bam_sabce",0,0.25,0.25,0,1,0,0,0,0,1,1,0.25,0.5,0,0,1,4,7,NA,NA
"bam_tikare",0,0,0.2,0,1,0,0,0,0,1,1,0.4,0,0,0,0.8,5,8,40,0.125
"bam_zimtenga",0.25,0.25,0.5,0,1,0,0,0,0.5,0.5,1,0.25,0,0,0,1,4,6,NA,NA
"bandiagara_bandiagara_commune",0,1,0,1,1,1,0,1,0,1,1,0.5,1,0,0.5,1,2,2,NA,NA
"bandiagara_bara_sara",0.5,0.5,0,1,1,1,0,1,0,1,1,0,1,0,0,1,2,2,34,0.0588235294117647
"bandiagara_borko",0,0,0,0.5,0.5,1,0.5,1,0,1,0,0.5,1,0,0,1,2,2,7,0.285714285714286
"bandiagara_dandoli",0,0,1,0.5,1,1,0,1,0,1,1,1,1,0,1,1,2,2,17,0.117647058823529
"bandiagara_diamnati",0.5,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,2,2,17,0.117647058823529
"bandiagara_dogani_bere",0,0,0.5,0.5,1,1,0,1,0,1,0.5,1,1,0,0.5,1,2,2,5,0.4
"bandiagara_doucoumbo",0,0.5,0.5,1,1,1,0,1,0,1,0.5,0,1,0,0,1,2,2,43,0.0465116279069767
"bandiagara_dourou",0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,2,2,33,0.0606060606060606
"bandiagara_kende",0,0,0.5,0.5,1,1,0,1,0,1,0.5,0.5,1,0,0.5,1,2,2,7,0.285714285714286
"bandiagara_kendie",0.5,0.5,0,0.5,1,1,0,1,0,1,1,0,1,0,0,1,2,2,56,0.0357142857142857
"bandiagara_metoumou",0,0.5,0,1,0.5,1,0.5,1,0,1,0.5,0.5,0.5,0,0.5,1,2,2,24,0.0833333333333333
"bandiagara_ondougou",0,0,0.5,0,0,1,0,1,0,1,1,1,1,0,1,1,2,2,9,0.222222222222222
"bandiagara_pelou",0,0,1,1,1,1,0,1,0,1,1,0.5,1,0,0,1,2,2,4,0.5
"bandiagara_pignari",0,0,1,1,1,1,0.5,1,0,1,0,0.5,1,0,0,1,2,2,24,0.0833333333333333
