reg_dep;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num;n;dep_percentage
centre_nord_bam;0,00000000;0,02631579;0,10526316;0,07894737;1,0000000;0,00000000;0,00000000;0,02631579;0,02631579;0,9736842;1,00000000;0,39473684;0,5294118;0,00000000;0,02631579;1,00000000;38; 61;270;0,14074074
centre_nord_namentenga;0,06451613;0,09677419;0,06451613;0,19354839;1,0000000;0,03225806;0,00000000;0,09677419;0,12903226;0,8709677;1,00000000;0,32258065;0,4516129;0,00000000;0,06451613;0,93548387;31; 51;278;0,11151079
centre_nord_sanmatenga;0,00000000;0,08823529;0,17647059;0,22058824;1,0000000;0,16176471;0,00000000;0,20588235;0,05882353;0,9411765;0,98529412;0,27941176;0,4843750;0,00000000;0,13235294;0,92647059;68; 99;626;0,10862620
est_gnagna;0,11428571;0,30000000;0,34285714;0,28571429;1,0000000;0,52857143;0,01428571;0,31428571;0,31428571;0,6857143;0,98571429;0,71428571;0,7090909;0,04285714;0,75714286;0,67142857;70; 74;341;0,20527859
est_gourma;0,04285714;0,10000000;0,34285714;0,21428571;0,9857143;0,32857143;0,02857143;0,28571429;0,15714286;0,8428571;0,95714286;0,82857143;0,7500000;0,05714286;0,62857143;0,80000000;70; 80;241;0,29045643
est_komandjari;0,06666667;0,20000000;0,40000000;0,26666667;1,0000000;0,60000000;0,00000000;0,93333333;0,40000000;0,6000000;1,00000000;0,73333333;0,8750000;0,00000000;0,60000000;0,80000000;15; 17;110;0,13636364
est_kompienga;0,00000000;0,53846154;0,53846154;0,53846154;0,6923077;0,92307692;0,23076923;0,69230769;0,61538462;0,3846154;0,84615385;0,76923077;0,9000000;0,00000000;0,92307692;0,46153846;13; 18; 23;0,56521739
est_tapoa;0,10638298;0,14893617;0,36170213;0,19148936;0,9787234;0,34042553;0,04255319;0,65957447;0,12765957;0,8723404;0,95744681;0,57446809;0,6470588;0,00000000;0,74468085;0,78723404;47; 56;266;0,17669173
gao_ansongo;0,20754717;0,33962264;0,58490566;0,50943396;0,5849057;0,90566038;0,45283019;0,64150943;0,58490566;0,4150943;0,35849057;0,41509434;0,6800000;0,09433962;0,69811321;0,22641509;53; 53;154;0,34415584
gao_bourem;0,06521739;0,23913043;0,54347826;0,39130435;0,6956522;0,56521739;0,30434783;0,34782609;0,28260870;0,7173913;0,34782609;0,32608696;0,8125000;0,13043478;0,69565217;0,41304348;46; 48;184;0,25000000
gao_gao;0,09677419;0,20430108;0,37634409;0,31182796;0,7956989;0,48387097;0,34408602;0,35483871;0,22580645;0,7634409;0,40860215;0,33333333;0,7500000;0,08602151;0,58064516;0,40860215;93; 94;201;0,46268657
menaka_anderamboukane;0,33333333;0,41666667;0,50000000;0,58333333;0,5000000;0,75000000;0,25000000;0,50000000;0,41666667;0,5833333;0,25000000;0,50000000;0,6000000;0,00000000;0,66666667;0,16666667;12; 12; 14;0,85714286
menaka_inekar;0,00000000;0,25000000;0,75000000;0,50000000;0,5000000;0,75000000;0,37500000;0,87500000;0,50000000;0,5000000;0,25000000;0,50000000;0,5000000;0,12500000;0,75000000;0,00000000; 8;  8; 11;0,72727273
menaka_menaka;0,00000000;0,58333333;0,50000000;0,50000000;0,5833333;0,66666667;0,50000000;0,66666667;0,41666667;0,5833333;0,16666667;0,33333333;0,8571429;0,25000000;0,58333333;0,33333333;12; 12; 16;0,75000000
menaka_tidermene;0,46153846;0,61538462;0,61538462;0,61538462;0,5384615;0,61538462;0,46153846;0,84615385;0,53846154;0,4615385;0,07692308;0,53846154;0,5000000;0,15384615;0,69230769;0,00000000;13; 13; 10;1,30000000
mopti_bandiagara;0,09756098;0,48780488;0,63414634;0,80487805;0,6341463;1,00000000;0,36585366;0,39024390;0,07317073;0,9268293;0,36585366;0,46341463;0,9250000;0,09756098;0,58536585;0,85365854;41; 41;573;0,07155323
