State_Id;id_grid;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num
Agadez5048;2914;0,0000000;0,00000000;0,0000000;0,00000000;0,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;0,00000000;NA;0,00000000;0,0000000;1,0000000;16; 1
Agadez5197;3024;0,0000000;0,00000000;0,0000000;0,66666667;0,3333333;0,3333333;0,0000000;0,33333333;0,66666667;0,3333333;0,6666667;0,00000000;NA;0,00000000;0,3333333;0,3333333;16; 6
Agadez5198;3025;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,0000000;0,5000000;16; 4
Agadez5347;3137;0,0000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;1,0000000;0,00000000;1,00000000;0,0000000;0,0000000;1,00000000;NA;0,00000000;0,0000000;1,0000000;16; 1
Agadez5495;3248;0,0000000;0,00000000;1,0000000;1,00000000;0,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;0,00000000;NA;0,00000000;1,0000000;1,0000000;16; 1
Agadez5497;3250;0,0000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;0,0000000;1,0000000;16; 1
Boucle du Mouhoun2596; 881;0,0000000;1,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;1,00000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000;1,0000000;0,0000000;16; 1
Boucle du Mouhoun2598; 883;0,0000000;1,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;16; 1
Boucle du Mouhoun2745; 990;0,0000000;1,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;16; 1
Boucle du Mouhoun2901;1118;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;1,00000000;0,50000000;0,5000000;1,0000000;0,50000000;NA;0,00000000;0,5000000;1,0000000;16; 2
Centre-Est1269; 230;0,0000000;1,00000000;1,0000000;0,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000;1,0000000;1,0000000;16; 1
Centre-Est1562; 334;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;1,0000000;0,00000000;0,0000000;1,0000000;16; 1
Centre-Est1568; 340;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;1,0000000;0,0000000;1,00000000;0,00000000;1,0000000;1,0000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;16; 1
Centre-Est1715; 402;0,0000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;0,0000000;0,00000000;1,0000000;1,0000000;16; 1
Centre-Est1865; 477;0,2000000;0,20000000;0,2000000;0,00000000;1,0000000;0,0000000;0,0000000;0,20000000;0,20000000;0,8000000;1,0000000;1,00000000;1,0000000;0,00000000;0,8000000;0,4000000;16; 5
Centre-Est1866; 478;0,0000000;0,00000000;0,4285714;0,28571429;1,0000000;0,2857143;0,0000000;0,00000000;0,14285714;0,8571429;1,0000000;0,71428571;0,8571429;0,00000000;0,5714286;0,8571429;16;10
Centre-Est2162; 633;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 2
Centre-Est2163; 634;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;1,00000000;0,0000000;1,0000000;1,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 1
Centre-Est2164; 635;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000;0,0000000;1,0000000;16; 1
Centre-Est2165; 636;0,0000000;0,33333333;0,0000000;0,33333333;1,0000000;0,0000000;0,0000000;0,00000000;0,33333333;0,6666667;1,0000000;0,33333333;1,0000000;0,00000000;0,3333333;0,3333333;16; 3
Centre-Nord2313; 716;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;1,00000000;0,0000000;1,0000000;1,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 2
Centre-Nord2460; 798;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,16666667;0,8333333;1,0000000;0,16666667;0,5000000;0,00000000;0,0000000;1,0000000;16;12
Centre-Nord2461; 799;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,16666667;0,8333333;1,0000000;0,33333333;0,1666667;0,00000000;0,0000000;0,8333333;16;13
Centre-Nord2462; 800;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 1
Centre-Nord2463; 801;0,0000000;0,00000000;0,2000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,20000000;0,8000000;1,0000000;0,40000000;0,2000000;0,00000000;0,0000000;1,0000000;16; 8
Centre-Nord2608; 893;0,0000000;0,14285714;0,1428571;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,57142857;0,2857143;0,00000000;0,0000000;1,0000000;16; 8
Centre-Nord2609; 894;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;0,6666667;0,00000000;0,0000000;1,0000000;16; 9
Centre-Nord2610; 895;0,0000000;0,00000000;0,3333333;0,33333333;1,0000000;0,5000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,66666667;0,6000000;0,00000000;0,1666667;1,0000000;16; 8
Centre-Nord2611; 896;0,0000000;0,40000000;0,2000000;0,20000000;1,0000000;0,0000000;0,0000000;0,20000000;0,00000000;1,0000000;1,0000000;0,40000000;0,2000000;0,00000000;0,2000000;1,0000000;16; 8
Centre-Nord2612; 897;0,0000000;0,00000000;0,0000000;0,20000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,20000000;0,8000000;0,00000000;0,0000000;1,0000000;16; 6
Centre-Nord2756;1001;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;1,00000000;0,0000000;1,0000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 2
Centre-Nord2757;1002;0,0000000;0,00000000;0,1250000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,37500000;0,6250000;0,00000000;0,0000000;1,0000000;16;12
Centre-Nord2758;1003;0,0000000;0,25000000;0,7500000;0,75000000;1,0000000;0,2500000;0,0000000;0,25000000;0,00000000;1,0000000;1,0000000;0,75000000;1,0000000;0,00000000;0,0000000;1,0000000;16; 5
Centre-Nord2759;1004;0,0000000;0,50000000;0,0000000;0,50000000;1,0000000;0,0000000;0,0000000;1,00000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000;0,0000000;0,5000000;16; 2
Centre-Nord2760;1005;0,0000000;0,50000000;0,5000000;1,00000000;1,0000000;0,5000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000;0,5000000;1,0000000;16; 2
Centre-Nord2762;1007;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;1,00000000;0,00000000;1,0000000;1,0000000;1,00000000;1,0000000;0,00000000;1,0000000;1,0000000;16; 1
Centre-Nord2763;1008;0,0000000;0,00000000;0,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;0,0000000;0,00000000;0,0000000;1,0000000;16; 4
