pay_reg;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num
burkina_faso_centre_nord;0,014598540;0,07299270;0,1313869;0,1751825;1,0000000;0,08759124;0,00000000;0,1313869;0,06569343;0,9343066;0,9927007;0,3211679;0,4883721;0,000000000;0,08759124;0,9489051;137;211
burkina_faso_est;0,079069767;0,20930233;0,3627907;0,2558140;0,9720930;0,45116279;0,03720930;0,4465116;0,24651163;0,7534884;0,9627907;0,7255814;0,7394366;0,032558140;0,71162791;0,7348837;215;245
burkina_faso_nord;0,092391304;0,15760870;0,4945652;0,3641304;0,9076087;0,39130435;0,02173913;0,2717391;0,35869565;0,6413043;0,9782609;0,2228261;0,6216216;0,010869565;0,61413043;0,9456522;184;188
burkina_faso_sahel;0,104838710;0,34677419;0,6048387;0,5967742;0,9354839;0,48387097;0,12903226;0,8145161;0,35483871;0,6451613;0,8870968;0,6854839;0,5925926;0,008064516;0,46774194;0,7822581;124;154
mali_gao;0,119791667;0,25000000;0,4739583;0,3854167;0,7135417;0,61979167;0,36458333;0,4322917;0,33854167;0,6562500;0,3802083;0,3541667;0,7384615;0,098958333;0,64062500;0,3593750;192;195
mali_menaka;0,222222222;0,48888889;0,5777778;0,5555556;0,5333333;0,68888889;0,40000000;0,7111111;0,46666667;0,5333333;0,1777778;0,4666667;0,6363636;0,133333333;0,66666667;0,1333333; 45; 45
mali_mopti;0,058365759;0,29961089;0,5097276;0,5797665;0,6303502;0,98443580;0,34630350;0,5019455;0,04280156;0,9571984;0,5175097;0,3035019;0,9176471;0,035019455;0,35408560;0,8521401;257;259
mali_tombouctou;0,067226891;0,15966387;0,4201681;0,4285714;0,5714286;0,58823529;0,42857143;0,4705882;0,17647059;0,8235294;0,4537815;0,3529412;0,6000000;0,000000000;0,36974790;0,4537815;119;120
niger_tahoua;0,076923077;0,07692308;0,5769231;0,6153846;0,6730769;0,50000000;0,25000000;0,1730769;0,30769231;0,6923077;0,5000000;0,3076923;0,1538462;0,057692308;0,44230769;0,7307692; 52; 86
niger_tillaberi;0,004395604;0,02197802;0,6109890;0,4395604;0,9780220;0,29230769;0,02637363;0,1692308;0,19340659;0,8043956;0,8109890;0,5648352;0,7307692;0,024175824;0,53846154;0,6879121;455;727
